user_agent,label
Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36,100
ALittle Client,100
Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,1
Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/46.0.2490.80 Safari/537.36,1
Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/57.0.2987.133 Safari/537.36,1
Mozilla/5.0,100
Python-urllib/3.8,100
Hello,100
Go-http-client/1.1,100
Hello World,100
Mozilla/5.0 (Windows NT 10.0; Win64; x64; Xbox; Xbox One) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.84 Safari/537.36,100
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,1
Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/57.0.2987.133 Safari/537.36,1
Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML like Gecko) Chrome/60.0.3112.90 Safari/537.36,1
Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/605.1.15 (KHTML like Gecko) Version/11.1 Safari/605.1.15,1
01h4x.com,100
360Spider,100
404checker,100
404enemy,100
80legs,100
ADmantX,100
AIBOT,100
ALittle Client,100
ASPSeek,100
Abonti,100
Aboundex,100
Aboundexbot,100
Acunetix,100
AdsTxtCrawlerTP,100
AfD-Verbotsverfahren,100
AhrefsBot,100
AiHitBot,100
Aipbot,100
Alexibot,100
AllSubmitter,100
Mozilla/5.0+(compatible; UptimeRobot/2.0; http://www.uptimerobot.com/), 100
Wordfence Central API v1.0, 100
